Source,Target,Probability
1,1,1.0
2,2,1.0
3,3,1.0
4,4,1.0
5,5,1.0
6,6,1.0
7,7,1.0
8,8,1.0
9,9,1.0
10,10,1.0
12,12,1.0
14,14,1.0
15,15,1.0
17,17,1.0
18,18,1.0
22,22,1.0
23,23,1.0
24,24,1.0
25,25,1.0
27,27,1.0
28,28,1.0
29,29,1.0
30,30,1.0
31,31,1.0
32,32,1.0
34,34,1.0
35,35,1.0
36,36,1.0
37,37,1.0
38,38,1.0
40,40,1.0
42,42,1.0
43,43,1.0
47,47,1.0
48,48,1.0
49,49,1.0
50,50,1.0
51,51,1.0
53,53,1.0
55,55,1.0
56,56,1.0
57,57,1.0
58,58,1.0
59,59,1.0
60,60,1.0
61,61,1.0
64,64,1.0
65,65,1.0
67,67,1.0
68,68,1.0
69,69,1.0
70,70,1.0
72,72,1.0
73,73,1.0
75,75,1.0
76,76,1.0
77,77,1.0
78,78,1.0
80,80,1.0
81,81,1.0
83,83,1.0
84,84,1.0
85,85,1.0
86,86,1.0
87,87,1.0
88,88,1.0
89,89,1.0
90,90,1.0
91,91,1.0
93,93,1.0
94,94,1.0
95,95,1.0
96,96,1.0
97,97,1.0
98,98,1.0
99,99,1.0
101,101,1.0
102,102,1.0
103,103,1.0
104,104,1.0
107,107,1.0
108,108,1.0
111,111,1.0
112,112,1.0
113,113,1.0
114,114,1.0
115,115,1.0
117,117,1.0
119,119,1.0
120,120,1.0
122,122,1.0
123,123,1.0
124,124,1.0
125,125,1.0
126,126,1.0
127,127,1.0
129,129,1.0
131,131,1.0
132,132,1.0
135,135,1.0
136,136,1.0
137,137,1.0
138,138,1.0
140,140,1.0
141,141,1.0
142,142,1.0
143,143,1.0
144,144,1.0
146,146,1.0
147,147,1.0
148,148,1.0
149,149,1.0
150,150,1.0
151,151,1.0
153,153,1.0
154,154,1.0
156,156,1.0
157,157,1.0
158,158,1.0
159,159,1.0
160,160,1.0
161,161,1.0
162,162,1.0
163,163,1.0
164,164,1.0
165,165,1.0
166,166,1.0
167,167,1.0
168,168,1.0
169,169,1.0
170,170,1.0
171,171,1.0
172,172,1.0
175,175,1.0
176,176,1.0
178,178,1.0
181,181,1.0
182,182,1.0
183,183,1.0
184,184,1.0
185,185,1.0
186,186,1.0
187,187,1.0
189,189,1.0
190,190,1.0
191,191,1.0
192,192,1.0
193,193,1.0
194,194,1.0
195,195,1.0
196,196,1.0
197,197,1.0
198,198,1.0
199,199,1.0
201,201,1.0
202,202,1.0
203,203,1.0
204,204,1.0
205,205,1.0
206,206,1.0
207,207,1.0
